dataset,mode,method,run_index,run_seed,accuracy
iris,kfold,nnknn,1,42,1.0
iris,kfold,nnknn,2,43,1.0
iris,kfold,nnknn,3,44,1.0
iris,kfold,nnknn,4,45,0.9333333333333333
iris,kfold,nnknn,5,46,0.8666666666666667
iris,kfold,nnknn,6,47,1.0
iris,kfold,nnknn,7,48,1.0
iris,kfold,nnknn,8,49,1.0
iris,kfold,nnknn,9,50,0.9333333333333333
iris,kfold,nnknn,10,51,0.8666666666666667
zebra,kfold,nnknn,1,42,0.5454545454545454
zebra,kfold,nnknn,2,43,0.45454545454545453
zebra,kfold,nnknn,3,44,0.36363636363636365
zebra,kfold,nnknn,4,45,0.8181818181818182
zebra,kfold,nnknn,5,46,0.45454545454545453
zebra,kfold,nnknn,6,47,0.6363636363636364
zebra,kfold,nnknn,7,48,0.2727272727272727
zebra,kfold,nnknn,8,49,0.5454545454545454
zebra,kfold,nnknn,9,50,0.5454545454545454
zebra,kfold,nnknn,10,51,0.5454545454545454
zebra_special,kfold,nnknn,1,42,0.5909090909090909
zebra_special,kfold,nnknn,2,43,0.5
zebra_special,kfold,nnknn,3,44,0.7272727272727273
zebra_special,kfold,nnknn,4,45,0.5
zebra_special,kfold,nnknn,5,46,0.45454545454545453
zebra_special,kfold,nnknn,6,47,0.5454545454545454
zebra_special,kfold,nnknn,7,48,0.4090909090909091
zebra_special,kfold,nnknn,8,49,0.45454545454545453
zebra_special,kfold,nnknn,9,50,0.5
zebra_special,kfold,nnknn,10,51,0.5454545454545454
