dataset,mode,fold,run_index,family_id,family_label,result_type,result_label,rmse_raw,rmse_model_space,standardized_targets,source,entry_id,entry_label
califonia_housing,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),0.6557391285896301,0.5671373605728149,True,baseline,knn_x,kNN(X)
califonia_housing,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.461203396320343,0.3988867700099945,True,baseline,mlkr_knn,MLKR+kNN
califonia_housing,kfold,1,1,mlp,MLP,baseline,MLP,0.5125808715820312,0.4433222711086273,True,baseline,mlp,MLP
califonia_housing,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),0.6421741247177124,0.5583635568618774,True,baseline,knn_x,kNN(X)
califonia_housing,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.46074485778808594,0.4006127417087555,True,baseline,mlkr_knn,MLKR+kNN
califonia_housing,kfold,2,2,mlp,MLP,baseline,MLP,0.5104357004165649,0.4438183903694153,True,baseline,mlp,MLP
califonia_housing,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),0.6284525394439697,0.5430553555488586,True,baseline,knn_x,kNN(X)
califonia_housing,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.4620995819568634,0.3993071913719177,True,baseline,mlkr_knn,MLKR+kNN
califonia_housing,kfold,3,3,mlp,MLP,baseline,MLP,0.501541256904602,0.4333893656730652,True,baseline,mlp,MLP
califonia_housing,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),0.5956725478172302,0.5162737965583801,True,baseline,knn_x,kNN(X)
califonia_housing,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.45492568612098694,0.3942875266075134,True,baseline,mlkr_knn,MLKR+kNN
califonia_housing,kfold,4,4,mlp,MLP,baseline,MLP,0.49401798844337463,0.4281691312789917,True,baseline,mlp,MLP
califonia_housing,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),0.6503483057022095,0.5643441081047058,True,baseline,knn_x,kNN(X)
califonia_housing,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.4800631105899811,0.4165780246257782,True,baseline,mlkr_knn,MLKR+kNN
califonia_housing,kfold,5,5,mlp,MLP,baseline,MLP,0.5186922550201416,0.4500987231731415,True,baseline,mlp,MLP
diabets,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),54.76021194458008,0.7014971971511841,True,baseline,knn_x,kNN(X)
diabets,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,55.52487564086914,0.7112928628921509,True,baseline,mlkr_knn,MLKR+kNN
diabets,kfold,1,1,mlp,MLP,baseline,MLP,50.11599349975586,0.6420032382011414,True,baseline,mlp,MLP
diabets,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),62.79499053955078,0.8220840692520142,True,baseline,knn_x,kNN(X)
diabets,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,55.144134521484375,0.7219223976135254,True,baseline,mlkr_knn,MLKR+kNN
diabets,kfold,2,2,mlp,MLP,baseline,MLP,53.274452209472656,0.6974453926086426,True,baseline,mlp,MLP
diabets,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),60.37593078613281,0.7761296033859253,True,baseline,knn_x,kNN(X)
diabets,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,62.569766998291016,0.8043311834335327,True,baseline,mlkr_knn,MLKR+kNN
diabets,kfold,3,3,mlp,MLP,baseline,MLP,57.295867919921875,0.7365354895591736,True,baseline,mlp,MLP
diabets,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),61.17673110961914,0.8069961667060852,True,baseline,knn_x,kNN(X)
diabets,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,60.544151306152344,0.7986516952514648,True,baseline,mlkr_knn,MLKR+kNN
diabets,kfold,4,4,mlp,MLP,baseline,MLP,52.632598876953125,0.6942885518074036,True,baseline,mlp,MLP
diabets,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),56.897090911865234,0.7354698777198792,True,baseline,knn_x,kNN(X)
diabets,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,59.21099853515625,0.7653802633285522,True,baseline,mlkr_knn,MLKR+kNN
diabets,kfold,5,5,mlp,MLP,baseline,MLP,55.929901123046875,0.7229676842689514,True,baseline,mlp,MLP
abalone,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),2.3001513481140137,0.7171515822410583,True,baseline,knn_x,kNN(X)
abalone,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.114466428756714,0.6592578887939453,True,baseline,mlkr_knn,MLKR+kNN
abalone,kfold,1,1,mlp,MLP,baseline,MLP,2.0963666439056396,0.6536146402359009,True,baseline,mlp,MLP
abalone,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),2.1819512844085693,0.6658480167388916,True,baseline,knn_x,kNN(X)
abalone,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.0680620670318604,0.6310933232307434,True,baseline,mlkr_knn,MLKR+kNN
abalone,kfold,2,2,mlp,MLP,baseline,MLP,2.0086841583251953,0.6129735112190247,True,baseline,mlp,MLP
abalone,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),2.4122631549835205,0.759612500667572,True,baseline,knn_x,kNN(X)
abalone,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,2.231724262237549,0.7027615308761597,True,baseline,mlkr_knn,MLKR+kNN
abalone,kfold,3,3,mlp,MLP,baseline,MLP,2.1863555908203125,0.6884751319885254,True,baseline,mlp,MLP
