dataset,mode,fold,run_index,family_id,family_label,result_type,result_label,rmse_raw,rmse_model_space,standardized_targets,source,entry_id,entry_label,resume_source
califonia_housing,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),0.6340540051460266,0.5495579838752747,True,baseline,knn_x,kNN(X),
califonia_housing,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.4443921148777008,0.3851710259914398,True,baseline,mlkr_knn,MLKR+kNN,
califonia_housing,kfold,1,1,mlp,MLP,baseline,MLP,0.49995937943458557,0.43333324790000916,True,baseline,mlp,MLP,
califonia_housing,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),0.6368003487586975,0.5522661805152893,True,baseline,knn_x,kNN(X),
califonia_housing,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.4531598389148712,0.3930036425590515,True,baseline,mlkr_knn,MLKR+kNN,
califonia_housing,kfold,2,2,mlp,MLP,baseline,MLP,0.49634450674057007,0.43045562505722046,True,baseline,mlp,MLP,
califonia_housing,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),0.6066386699676514,0.525222659111023,True,baseline,knn_x,kNN(X),
califonia_housing,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.44880932569503784,0.38857531547546387,True,baseline,mlkr_knn,MLKR+kNN,
califonia_housing,kfold,3,3,mlp,MLP,baseline,MLP,0.5004539489746094,0.4332888424396515,True,baseline,mlp,MLP,
califonia_housing,kfold,4,4,knn_x,kNN(X),baseline,kNN(X),0.6481975317001343,0.5605756044387817,True,baseline,knn_x,kNN(X),
califonia_housing,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.4741775691509247,0.4100792706012726,True,baseline,mlkr_knn,MLKR+kNN,
califonia_housing,kfold,4,4,mlp,MLP,baseline,MLP,0.5203980207443237,0.45005178451538086,True,baseline,mlp,MLP,
califonia_housing,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),0.6669406890869141,0.5791248679161072,True,baseline,knn_x,kNN(X),
califonia_housing,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.47866448760032654,0.41563892364501953,True,baseline,mlkr_knn,MLKR+kNN,
califonia_housing,kfold,5,5,mlp,MLP,baseline,MLP,0.5190362334251404,0.45069488883018494,True,baseline,mlp,MLP,
diabets,kfold,1,1,knn_x,kNN(X),baseline,kNN(X),59.10270690917969,0.7715689539909363,True,baseline,knn_x,kNN(X),
diabets,kfold,1,1,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,54.61445236206055,0.7129760980606079,True,baseline,mlkr_knn,MLKR+kNN,
diabets,kfold,1,1,mlp,MLP,baseline,MLP,52.4321174621582,0.6844863295555115,True,baseline,mlp,MLP,
diabets,kfold,2,2,knn_x,kNN(X),baseline,kNN(X),61.4083251953125,0.798348069190979,True,baseline,knn_x,kNN(X),
diabets,kfold,2,2,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,63.28532791137695,0.8227503299713135,True,baseline,mlkr_knn,MLKR+kNN,
diabets,kfold,2,2,mlp,MLP,baseline,MLP,57.02719497680664,0.7413906455039978,True,baseline,mlp,MLP,
diabets,kfold,3,3,knn_x,kNN(X),baseline,kNN(X),59.43722915649414,0.7698039412498474,True,baseline,knn_x,kNN(X),
diabets,kfold,3,3,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,57.60683822631836,0.7460976243019104,True,baseline,mlkr_knn,MLKR+kNN,
diabets,kfold,3,3,mlp,MLP,baseline,MLP,56.278934478759766,0.7288992404937744,True,baseline,mlp,MLP,
