dataset,MLKR+kNN,MLP,NN-kNN (softmax) + locality - locality,NN-kNN (softmax) + locality - locality + adaptation,NN-kNN (softmax) - adaptation,NN-kNN (softmax) - pure,NN-kNN (sparsemax) + locality - locality,NN-kNN (sparsemax) + locality - locality + adaptation,NN-kNN (sparsemax) - adaptation,NN-kNN (sparsemax) - pure,kNN(X)
abalone,2.1139 +/- 0.1195,2.0622 +/- 0.1174,2.1528 +/- 0.1119,2.0851 +/- 0.1109,2.0814 +/- 0.1048,2.1471 +/- 0.1189,2.2261 +/- 0.0958,2.1585 +/- 0.1079,2.1667 +/- 0.1087,2.2331 +/- 0.0925,2.2941 +/- 0.1100
airfoil,2.6673 +/- 0.1131,2.3954 +/- 0.1696,2.2443 +/- 0.1371,2.1313 +/- 0.1521,2.0904 +/- 0.1176,2.1860 +/- 0.1399,1.9860 +/- 0.0912,1.8797 +/- 0.0793,1.8421 +/- 0.0593,1.9128 +/- 0.0594,2.5836 +/- 0.0834
bike_sharing,49.6507 +/- 2.0649,43.7381 +/- 2.3000,63.0771 +/- 6.1594,56.8740 +/- 3.9641,52.2011 +/- 2.1365,57.2366 +/- 2.3490,47.2466 +/- 2.6738,45.9002 +/- 2.5048,43.7675 +/- 2.6184,43.7345 +/- 2.5482,103.8849 +/- 3.9483
body_fat,0.0121 +/- 0.0021,0.0106 +/- 0.0012,0.0113 +/- 0.0016,0.0108 +/- 0.0012,0.0105 +/- 0.0013,0.0113 +/- 0.0016,0.0128 +/- 0.0016,0.0118 +/- 0.0014,0.0117 +/- 0.0011,0.0128 +/- 0.0016,0.0128 +/- 0.0017
califonia_housing,0.4598 +/- 0.0155,0.5072 +/- 0.0115,0.6517 +/- 0.0320,0.7590 +/- 0.3049,0.5472 +/- 0.0104,0.5927 +/- 0.0115,0.4496 +/- 0.0146,0.4541 +/- 0.0209,0.4539 +/- 0.0154,0.4533 +/- 0.0164,0.6385 +/- 0.0220
car,14907.8609 +/- 2317.2745,17322.7525 +/- 2836.3868,12705.4631 +/- 1764.8689,11768.1016 +/- 1846.9196,12511.2268 +/- 1700.5239,13255.8062 +/- 1735.3926,9971.3905 +/- 2219.2316,9739.6280 +/- 2000.7934,9565.1253 +/- 2175.9331,9709.5471 +/- 2386.1252,12181.7783 +/- 1790.4188
diabets,58.3191 +/- 3.6132,54.8354 +/- 1.9494,54.4619 +/- 3.1954,54.9571 +/- 1.5564,54.2161 +/- 2.3074,54.4262 +/- 3.2417,62.3194 +/- 2.8491,59.5776 +/- 2.4126,60.0890 +/- 2.2537,62.4392 +/- 2.7053,59.1295 +/- 1.7646
energy_efficiency,1.2650 +/- 0.6171,2.0074 +/- 0.0777,0.9321 +/- 0.1766,1.0161 +/- 0.1492,1.0390 +/- 0.1375,1.1304 +/- 0.1919,0.4846 +/- 0.0469,0.4852 +/- 0.0501,0.5288 +/- 0.0485,0.5285 +/- 0.0417,2.1967 +/- 0.2197
student_performance,1.5167 +/- 0.3168,1.4535 +/- 0.2344,1.3019 +/- 0.3212,1.3302 +/- 0.2930,1.3219 +/- 0.2823,1.2739 +/- 0.2811,1.6854 +/- 0.3062,1.4327 +/- 0.2094,1.5071 +/- 0.1830,1.8123 +/- 0.2171,2.2938 +/- 0.3032
wine,0.6124 +/- 0.0217,0.6664 +/- 0.0237,0.6086 +/- 0.0300,0.6076 +/- 0.0317,0.6113 +/- 0.0300,0.6117 +/- 0.0293,0.6286 +/- 0.0249,0.6216 +/- 0.0276,0.6243 +/- 0.0253,0.6295 +/- 0.0255,0.6359 +/- 0.0225
yacht,2.3390 +/- 0.3896,2.9994 +/- 0.7688,6.2277 +/- 1.5135,3.9115 +/- 1.4907,2.0416 +/- 0.4511,2.5445 +/- 0.6758,1.4596 +/- 0.4410,1.4349 +/- 0.5369,1.2486 +/- 0.5996,2.2051 +/- 1.7391,8.3588 +/- 1.4268
